bidder,bid_amount,bid_time,starting_price,automatic
o***x(0),$135.00,21 Feb 2019 at 4:25:24PM PST,$70.00,False
7***2(13),$133.00,21 Feb 2019 at 4:20:46PM PST,$70.00,False
7***2(13),$132.50,21 Feb 2019 at 4:20:46PM PST,$70.00,True
c***m(1),$130.00,21 Feb 2019 at 3:57:01PM PST,$70.00,False
7***2(13),$128.00,21 Feb 2019 at 4:20:43PM PST,$70.00,False
c***m(1),$125.50,21 Feb 2019 at 3:57:01PM PST,$70.00,True
7***2(13),$123.00,21 Feb 2019 at 4:19:24PM PST,$70.00,False
7***2(13),$122.50,21 Feb 2019 at 4:19:24PM PST,$70.00,True
c***m(1),$120.00,21 Feb 2019 at 3:56:51PM PST,$70.00,False
7***2(13),$120.00,21 Feb 2019 at 4:19:12PM PST,$70.00,False
c***m(1),$117.50,21 Feb 2019 at 3:56:51PM PST,$70.00,True
7***2(13),$115.00,21 Feb 2019 at 3:03:35PM PST,$70.00,False
k***n(13),$112.50,21 Feb 2019 at 3:01:45PM PST,$70.00,False
7***2(13),$110.00,21 Feb 2019 at 12:45:40AM PST,$70.00,False
r***o(0),$107.50,20 Feb 2019 at 9:24:33PM PST,$70.00,False
c***m(1),$105.00,20 Feb 2019 at 5:27:28PM PST,$70.00,False
i***a(0),$102.50,20 Feb 2019 at 4:16:39AM PST,$70.00,False
c***m(1),$101.00,18 Feb 2019 at 9:12:12PM PST,$70.00,False
c***m(1),$100.00,18 Feb 2019 at 9:12:12PM PST,$70.00,True
i***a(0),$99.00,20 Feb 2019 at 4:16:36AM PST,$70.00,False
c***m(1),$98.00,18 Feb 2019 at 9:12:12PM PST,$70.00,True
i***a(0),$97.00,20 Feb 2019 at 4:16:32AM PST,$70.00,False
c***m(1),$96.00,18 Feb 2019 at 9:12:12PM PST,$70.00,True
i***a(0),$95.00,20 Feb 2019 at 4:16:28AM PST,$70.00,False
c***m(1),$94.00,18 Feb 2019 at 9:12:12PM PST,$70.00,True
i***a(0),$93.00,20 Feb 2019 at 4:16:24AM PST,$70.00,False
c***m(1),$92.00,18 Feb 2019 at 9:12:12PM PST,$70.00,True
p***6(8),$91.00,17 Feb 2019 at 6:55:04PM PST,$70.00,False
c***a(303),$90.00,17 Feb 2019 at 4:49:15AM PST,$70.00,False
p***6(8),$90.00,17 Feb 2019 at 6:54:55PM PST,$70.00,False
c***a(303),$88.00,17 Feb 2019 at 4:49:15AM PST,$70.00,True
j***2(131),$87.00,17 Feb 2019 at 6:39:50PM PST,$70.00,False
c***a(303),$86.00,17 Feb 2019 at 4:49:15AM PST,$70.00,True
u***a(0),$85.00,15 Feb 2019 at 8:11:02AM PST,$70.00,False
c***a(303),$85.00,17 Feb 2019 at 4:48:54AM PST,$70.00,False
u***a(0),$83.00,15 Feb 2019 at 8:11:02AM PST,$70.00,True
c***a(303),$82.00,17 Feb 2019 at 4:48:51AM PST,$70.00,False
u***a(0),$81.00,15 Feb 2019 at 8:11:02AM PST,$70.00,True
e***9(19),$80.00,14 Feb 2019 at 7:29:46PM PST,$70.00,False
u***a(0),$80.00,15 Feb 2019 at 8:10:48AM PST,$70.00,False
e***9(19),$75.00,14 Feb 2019 at 7:29:46PM PST,$70.00,True
u***a(0),$74.00,15 Feb 2019 at 8:10:42AM PST,$70.00,False
e***9(19),$72.00,14 Feb 2019 at 7:29:46PM PST,$70.00,True
u***a(0),$71.00,15 Feb 2019 at 8:10:35AM PST,$70.00,False
u***a(0),$70.00,15 Feb 2019 at 8:10:35AM PST,$70.00,True
Starting Price,$70.00,14 Feb 2019 at 4:28:15PM PST,$70.00,False
