bidder,bid_amount,bid_time,starting_price,automatic
k***b(83),$164.50,3 Apr 2019 at 6:22:57AM PDT,$49.99,False
e***a(135),$162.00,3 Apr 2019 at 3:23:59AM PDT,$49.99,False
e***a(135),$161.08,3 Apr 2019 at 3:23:59AM PDT,$49.99,True
7***j(1378),$158.58,2 Apr 2019 at 11:46:52PM PDT,$49.99,False
e***a(135),$157.00,3 Apr 2019 at 3:22:43AM PDT,$49.99,False
e***a(135),$156.33,3 Apr 2019 at 3:22:43AM PDT,$49.99,True
7***j(1378),$153.83,2 Apr 2019 at 11:19:28PM PDT,$49.99,False
7***j(1378),$151.50,2 Apr 2019 at 11:19:28PM PDT,$49.99,True
e***a(135),$149.00,3 Apr 2019 at 3:22:28AM PDT,$49.99,False
7***j(1378),$143.50,2 Apr 2019 at 11:19:28PM PDT,$49.99,True
e***a(135),$141.00,2 Apr 2019 at 11:37:57PM PDT,$49.99,False
7***j(1378),$137.50,2 Apr 2019 at 11:19:28PM PDT,$49.99,True
e***a(135),$135.00,2 Apr 2019 at 11:36:52PM PDT,$49.99,False
7***j(1378),$130.50,2 Apr 2019 at 11:19:28PM PDT,$49.99,True
e***a(135),$128.00,2 Apr 2019 at 9:52:24PM PDT,$49.99,False
e***a(135),$125.50,2 Apr 2019 at 9:52:24PM PDT,$49.99,True
l***a(138),$123.00,2 Apr 2019 at 11:50:04AM PDT,$49.99,False
e***a(135),$123.00,2 Apr 2019 at 9:52:19PM PDT,$49.99,False
l***a(138),$120.50,2 Apr 2019 at 11:50:04AM PDT,$49.99,True
e***a(135),$118.00,2 Apr 2019 at 9:52:12PM PDT,$49.99,False
l***a(138),$113.50,2 Apr 2019 at 11:50:04AM PDT,$49.99,True
e***a(135),$111.00,2 Apr 2019 at 1:42:00AM PDT,$49.99,False
e***a(135),$110.50,2 Apr 2019 at 1:42:00AM PDT,$49.99,True
f***d(0),$108.00,31 Mar 2019 at 11:02:43PM PDT,$49.99,False
g***o(430),$106.00,30 Mar 2019 at 11:59:45AM PDT,$49.99,False
g***o(430),$105.50,30 Mar 2019 at 11:59:45AM PDT,$49.99,True
c***t(56),$103.00,29 Mar 2019 at 3:57:12PM PDT,$49.99,False
c***t(56),$102.51,29 Mar 2019 at 3:57:12PM PDT,$49.99,True
g***o(430),$100.01,29 Mar 2019 at 9:43:09AM PDT,$49.99,False
c***t(56),$100.00,29 Mar 2019 at 3:57:03PM PDT,$49.99,False
g***o(430),$94.00,29 Mar 2019 at 9:43:09AM PDT,$49.99,True
3***-(2),$93.00,29 Mar 2019 at 9:21:43AM PDT,$49.99,False
5***o(1),$92.00,29 Mar 2019 at 8:05:44AM PDT,$49.99,False
5***o(1),$91.00,29 Mar 2019 at 8:05:44AM PDT,$49.99,True
3***-(2),$90.00,29 Mar 2019 at 9:21:11AM PDT,$49.99,False
5***o(1),$86.00,29 Mar 2019 at 8:05:44AM PDT,$49.99,True
0***j(373),$85.00,29 Mar 2019 at 7:55:19AM PDT,$49.99,False
0***j(373),$81.00,29 Mar 2019 at 7:55:19AM PDT,$49.99,True
5***o(1),$80.00,29 Mar 2019 at 8:05:38AM PDT,$49.99,False
0***j(373),$57.00,29 Mar 2019 at 7:55:19AM PDT,$49.99,True
5***o(1),$56.00,29 Mar 2019 at 8:05:30AM PDT,$49.99,False
0***j(373),$51.00,29 Mar 2019 at 7:55:19AM PDT,$49.99,True
a***o(131),$50.00,29 Mar 2019 at 7:37:37AM PDT,$49.99,False
a***o(131),$49.99,29 Mar 2019 at 7:37:37AM PDT,$49.99,True
Starting Price,$49.99,29 Mar 2019 at 6:23:02AM PDT,$49.99,False
