bidder,bid_amount,bid_time,starting_price,automatic
t***s(294),$173.00,17 Feb 2019 at 10:38:17AM PST,$150.00,False
t***s(294),$173.00,17 Feb 2019 at 10:37:34AM PST,$150.00,False
-***e(0),$170.50,17 Feb 2019 at 10:26:09AM PST,$150.00,False
c***o(25),$170.00,17 Feb 2019 at 10:30:10AM PST,$150.00,False
-***e(0),$167.50,17 Feb 2019 at 10:26:09AM PST,$150.00,True
c***o(25),$165.00,17 Feb 2019 at 10:22:40AM PST,$150.00,False
-***e(0),$162.50,17 Feb 2019 at 10:20:58AM PST,$150.00,False
c***o(25),$160.00,17 Feb 2019 at 10:02:30AM PST,$150.00,False
-***e(0),$160.00,17 Feb 2019 at 10:20:44AM PST,$150.00,False
c***o(25),$157.50,17 Feb 2019 at 10:02:30AM PST,$150.00,True
-***e(0),$155.00,17 Feb 2019 at 9:17:44AM PST,$150.00,False
c***o(25),$153.00,17 Feb 2019 at 1:17:58AM PST,$150.00,False
c***o(25),$152.50,17 Feb 2019 at 1:17:58AM PST,$150.00,True
t***l(22),$150.00,10 Feb 2019 at 12:24:54PM PST,$150.00,False
t***l(22),$150.00,10 Feb 2019 at 12:24:54PM PST,$150.00,True
Starting Price,$150.00,10 Feb 2019 at 10:38:31AM PST,$150.00,False
