bidder,bid_amount,bid_time,starting_price,automatic
e***v(471),$228.39,7 Apr 2019 at 12:33:08AM PDT,$121.00,False
a***o(72),$225.89,7 Apr 2019 at 12:32:58AM PDT,$121.00,False
a***o(72),$188.50,7 Apr 2019 at 12:32:58AM PDT,$121.00,True
t***a(15),$186.00,7 Apr 2019 at 12:33:04AM PDT,$121.00,False
a***o(72),$183.50,7 Apr 2019 at 12:32:58AM PDT,$121.00,True
t***a(15),$181.00,7 Apr 2019 at 12:26:50AM PDT,$121.00,False
h***s(7),$180.00,7 Apr 2019 at 12:10:17AM PDT,$121.00,False
h***s(7),$178.50,7 Apr 2019 at 12:10:17AM PDT,$121.00,True
n***1(35),$176.00,6 Apr 2019 at 9:40:38PM PDT,$121.00,False
h***s(7),$175.00,6 Apr 2019 at 9:34:16PM PDT,$121.00,False
h***s(7),$173.50,6 Apr 2019 at 9:34:16PM PDT,$121.00,True
n***1(35),$171.00,6 Apr 2019 at 9:05:46PM PDT,$121.00,False
h***s(7),$170.00,6 Apr 2019 at 8:40:04PM PDT,$121.00,False
h***s(7),$168.50,6 Apr 2019 at 8:40:04PM PDT,$121.00,True
n***0(3),$166.00,6 Apr 2019 at 8:38:43PM PDT,$121.00,False
h***s(7),$164.00,6 Apr 2019 at 8:35:58PM PDT,$121.00,False
h***s(7),$163.50,6 Apr 2019 at 8:35:58PM PDT,$121.00,True
n***1(35),$161.00,6 Apr 2019 at 8:29:02PM PDT,$121.00,False
n***0(3),$159.00,6 Apr 2019 at 8:24:39PM PDT,$121.00,False
n***0(3),$158.50,6 Apr 2019 at 8:24:39PM PDT,$121.00,True
n***1(35),$156.00,6 Apr 2019 at 8:09:52PM PDT,$121.00,False
h***s(7),$154.00,4 Apr 2019 at 5:23:46AM PDT,$121.00,False
h***s(7),$153.50,4 Apr 2019 at 5:23:46AM PDT,$121.00,True
a***i(393),$151.00,4 Apr 2019 at 3:55:19AM PDT,$121.00,False
h***s(7),$148.50,4 Apr 2019 at 3:31:35AM PDT,$121.00,False
a***i(393),$146.00,4 Apr 2019 at 3:22:21AM PDT,$121.00,False
h***s(7),$143.50,4 Apr 2019 at 3:17:53AM PDT,$121.00,False
a***i(393),$141.00,4 Apr 2019 at 3:09:49AM PDT,$121.00,False
h***s(7),$140.00,4 Apr 2019 at 1:00:08AM PDT,$121.00,False
h***s(7),$138.50,4 Apr 2019 at 1:00:08AM PDT,$121.00,True
a***i(393),$136.00,4 Apr 2019 at 3:09:46AM PDT,$121.00,False
h***s(7),$133.50,4 Apr 2019 at 1:00:08AM PDT,$121.00,True
a***i(393),$131.00,3 Apr 2019 at 8:58:25PM PDT,$121.00,False
l***8(6),$130.00,1 Apr 2019 at 7:09:29PM PDT,$121.00,False
l***8(6),$128.50,1 Apr 2019 at 7:09:29PM PDT,$121.00,True
a***i(393),$126.00,3 Apr 2019 at 8:58:23PM PDT,$121.00,False
l***8(6),$123.50,1 Apr 2019 at 7:09:29PM PDT,$121.00,True
a***4(0),$121.00,1 Apr 2019 at 4:54:01PM PDT,$121.00,False
a***4(0),$121.00,1 Apr 2019 at 4:54:01PM PDT,$121.00,True
Starting Price,$121.00,31 Mar 2019 at 12:33:11AM PDT,$121.00,False
