bidder,bid_amount,bid_time,starting_price,automatic
3***a(0),$163.11,2 Apr 2019 at 10:46:57AM PDT,$49.99,False
7***j(1378),$160.61,2 Apr 2019 at 11:17:19PM PDT,$49.99,False
3***a(0),$133.81,2 Apr 2019 at 10:46:57AM PDT,$49.99,True
7***j(1378),$131.31,2 Apr 2019 at 5:20:47PM PDT,$49.99,False
3***a(0),$130.00,2 Apr 2019 at 10:46:31AM PDT,$49.99,False
3***a(0),$120.50,2 Apr 2019 at 10:46:31AM PDT,$49.99,True
l***a(8),$118.00,2 Apr 2019 at 1:40:58AM PDT,$49.99,False
e***a(135),$117.00,2 Apr 2019 at 1:39:49AM PDT,$49.99,False
e***a(135),$115.50,2 Apr 2019 at 1:39:49AM PDT,$49.99,True
l***a(8),$113.00,31 Mar 2019 at 7:12:29AM PDT,$49.99,False
l***a(8),$112.50,31 Mar 2019 at 7:12:29AM PDT,$49.99,True
g***o(430),$110.00,30 Mar 2019 at 12:00:23PM PDT,$49.99,False
g***o(430),$105.00,30 Mar 2019 at 12:00:21PM PDT,$49.99,False
g***o(430),$100.00,30 Mar 2019 at 12:00:18PM PDT,$49.99,False
g***o(430),$94.00,30 Mar 2019 at 12:00:15PM PDT,$49.99,False
g***o(430),$91.00,30 Mar 2019 at 12:00:13PM PDT,$49.99,False
l***a(8),$89.00,31 Mar 2019 at 7:12:29AM PDT,$49.99,True
g***o(430),$88.00,30 Mar 2019 at 12:00:09PM PDT,$49.99,False
g***o(430),$86.00,30 Mar 2019 at 12:00:09PM PDT,$49.99,True
0***j(374),$85.00,30 Mar 2019 at 9:35:54AM PDT,$49.99,False
0***j(374),$59.00,30 Mar 2019 at 9:35:54AM PDT,$49.99,True
3***2(130),$58.00,29 Mar 2019 at 8:15:37PM PDT,$49.99,False
0***j(374),$57.00,29 Mar 2019 at 2:56:54PM PDT,$49.99,False
g***o(430),$56.00,29 Mar 2019 at 9:43:27AM PDT,$49.99,False
g***o(430),$52.00,29 Mar 2019 at 9:43:27AM PDT,$49.99,True
3***-(2),$51.00,29 Mar 2019 at 9:23:19AM PDT,$49.99,False
a***o(131),$50.00,29 Mar 2019 at 7:37:26AM PDT,$49.99,False
a***o(131),$49.99,29 Mar 2019 at 7:37:26AM PDT,$49.99,True
Starting Price,$49.99,29 Mar 2019 at 6:25:03AM PDT,$49.99,False
