bidder,bid_amount,bid_time,starting_price,automatic
private listing - bidders' identities protected,$186.50,12 Feb 2019 at 12:11:47PM PST,$149.00,False
private listing - bidders' identities protected,$184.00,12 Feb 2019 at 11:34:49AM PST,$149.00,False
private listing - bidders' identities protected,$182.01,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$181.50,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$179.00,12 Feb 2019 at 11:34:46AM PST,$149.00,False
private listing - bidders' identities protected,$176.50,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$174.00,12 Feb 2019 at 11:34:45AM PST,$149.00,False
private listing - bidders' identities protected,$171.50,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$169.00,12 Feb 2019 at 11:34:43AM PST,$149.00,False
private listing - bidders' identities protected,$166.50,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$164.00,12 Feb 2019 at 11:34:41AM PST,$149.00,False
private listing - bidders' identities protected,$161.50,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$159.00,12 Feb 2019 at 11:34:37AM PST,$149.00,False
private listing - bidders' identities protected,$156.50,11 Feb 2019 at 1:52:10PM PST,$149.00,False
private listing - bidders' identities protected,$154.00,10 Feb 2019 at 11:41:37AM PST,$149.00,False
private listing - bidders' identities protected,$151.50,10 Feb 2019 at 11:41:37AM PST,$149.00,False
private listing - bidders' identities protected,$149.00,8 Feb 2019 at 1:07:23AM PST,$149.00,False
private listing - bidders' identities protected,$149.00,8 Feb 2019 at 1:07:23AM PST,$149.00,False
Starting Price,$149.00,6 Feb 2019 at 1:53:54PM PST,$149.00,False
