bidder,bid_amount,bid_time,starting_price,automatic
f***n(150),$145.50,4 May 2019 at 11:45:51AM PDT,$49.99,False
s***i(562),$143.00,4 May 2019 at 11:45:56AM PDT,$49.99,False
f***n(150),$140.50,4 May 2019 at 11:45:51AM PDT,$49.99,True
s***i(562),$138.00,4 May 2019 at 11:45:49AM PDT,$49.99,False
f***n(150),$127.50,4 May 2019 at 11:45:51AM PDT,$49.99,True
s***i(562),$125.00,4 May 2019 at 11:42:29AM PDT,$49.99,False
a***n(28),$123.00,4 May 2019 at 11:41:17AM PDT,$49.99,False
a***n(28),$122.50,4 May 2019 at 11:41:17AM PDT,$49.99,True
g***o(430),$120.00,4 May 2019 at 1:23:44AM PDT,$49.99,False
o***-(105),$119.00,3 May 2019 at 3:00:50PM PDT,$49.99,False
g***o(430),$117.50,4 May 2019 at 1:23:44AM PDT,$49.99,True
o***-(105),$115.00,3 May 2019 at 2:58:11PM PDT,$49.99,False
o***-(105),$114.50,3 May 2019 at 2:58:11PM PDT,$49.99,True
a***4(161),$112.00,3 May 2019 at 2:52:53AM PDT,$49.99,False
a***4(161),$110.00,3 May 2019 at 2:52:53AM PDT,$49.99,True
w***r(14),$107.50,2 May 2019 at 11:45:44PM PDT,$49.99,False
_***v(0),$105.00,2 May 2019 at 6:35:08PM PDT,$49.99,False
g***o(430),$105.00,2 May 2019 at 8:15:44PM PDT,$49.99,False
_***v(0),$102.50,2 May 2019 at 6:35:08PM PDT,$49.99,True
g***o(430),$100.00,2 May 2019 at 8:15:40PM PDT,$49.99,False
_***v(0),$97.00,2 May 2019 at 6:35:08PM PDT,$49.99,True
w***r(14),$96.00,2 May 2019 at 6:34:28PM PDT,$49.99,False
_***v(0),$95.00,2 May 2019 at 4:10:35PM PDT,$49.99,False
w***r(14),$95.00,2 May 2019 at 6:34:24PM PDT,$49.99,False
_***v(0),$94.00,2 May 2019 at 4:10:35PM PDT,$49.99,True
w***r(14),$93.00,2 May 2019 at 6:34:21PM PDT,$49.99,False
_***v(0),$92.00,2 May 2019 at 4:10:35PM PDT,$49.99,True
w***r(14),$91.00,2 May 2019 at 6:34:15PM PDT,$49.99,False
_***v(0),$90.00,2 May 2019 at 7:19:36AM PDT,$49.99,False
g***o(430),$90.00,2 May 2019 at 3:47:09PM PDT,$49.99,False
_***v(0),$85.00,2 May 2019 at 7:19:36AM PDT,$49.99,True
7***3(0),$84.00,2 May 2019 at 6:54:54AM PDT,$49.99,False
d***a(1),$83.00,1 May 2019 at 8:08:22PM PDT,$49.99,False
g***o(430),$82.00,1 May 2019 at 6:11:32PM PDT,$49.99,False
7***3(0),$81.00,1 May 2019 at 2:48:27PM PDT,$49.99,False
g***o(430),$80.00,29 Apr 2019 at 2:24:24PM PDT,$49.99,False
l***2(2331),$80.00,29 Apr 2019 at 10:30:26PM PDT,$49.99,False
g***o(430),$79.00,29 Apr 2019 at 2:24:24PM PDT,$49.99,True
l***2(2331),$78.00,29 Apr 2019 at 10:30:23PM PDT,$49.99,False
g***o(430),$73.00,29 Apr 2019 at 2:24:24PM PDT,$49.99,True
l***2(2331),$72.00,29 Apr 2019 at 10:30:20PM PDT,$49.99,False
g***o(430),$67.00,29 Apr 2019 at 2:24:24PM PDT,$49.99,True
l***2(2331),$66.00,29 Apr 2019 at 10:30:17PM PDT,$49.99,False
g***o(430),$61.00,29 Apr 2019 at 2:24:24PM PDT,$49.99,True
l***2(2331),$60.00,29 Apr 2019 at 10:30:14PM PDT,$49.99,False
g***o(430),$51.00,29 Apr 2019 at 2:24:24PM PDT,$49.99,True
r***t(516),$50.00,29 Apr 2019 at 12:11:08PM PDT,$49.99,False
r***t(516),$49.99,29 Apr 2019 at 12:11:08PM PDT,$49.99,True
Starting Price,$49.99,29 Apr 2019 at 11:45:56AM PDT,$49.99,False
