bidder,bid_amount,bid_time,starting_price,automatic
1***1(447),$167.50,22 Apr 2019 at 5:36:01PM PDT,$140.00,False
e***4(0),$165.00,18 Apr 2019 at 6:43:58PM PDT,$140.00,False
e***4(0),$163.55,18 Apr 2019 at 6:43:58PM PDT,$140.00,True
e***o(66),$161.05,22 Apr 2019 at 5:23:21PM PDT,$140.00,False
e***o(66),$155.50,22 Apr 2019 at 5:23:21PM PDT,$140.00,True
e***4(0),$153.00,18 Apr 2019 at 6:34:19PM PDT,$140.00,False
e***4(0),$147.50,18 Apr 2019 at 6:34:19PM PDT,$140.00,True
1***l(388),$145.00,22 Apr 2019 at 12:18:05PM PDT,$140.00,False
e***4(0),$142.50,18 Apr 2019 at 6:34:19PM PDT,$140.00,True
1***1(447),$140.00,16 Apr 2019 at 9:46:08PM PDT,$140.00,False
1***1(447),$140.00,16 Apr 2019 at 9:46:08PM PDT,$140.00,True
Starting Price,$140.00,15 Apr 2019 at 5:37:10PM PDT,$140.00,False
