bidder,bid_amount,bid_time,starting_price,automatic
e***e(3),$177.50,23 Feb 2019 at 3:29:43PM PST,$134.00,False
a***a(63),$175.00,23 Feb 2019 at 9:53:54AM PST,$134.00,False
e***e(3),$175.00,23 Feb 2019 at 3:29:12PM PST,$134.00,False
a***a(63),$172.50,23 Feb 2019 at 9:53:54AM PST,$134.00,True
e***e(3),$170.00,23 Feb 2019 at 3:29:02PM PST,$134.00,False
a***a(63),$167.50,23 Feb 2019 at 9:53:54AM PST,$134.00,True
e***e(3),$165.00,23 Feb 2019 at 3:28:57PM PST,$134.00,False
a***a(63),$162.50,23 Feb 2019 at 9:53:54AM PST,$134.00,True
e***e(3),$160.00,23 Feb 2019 at 3:26:29PM PST,$134.00,False
a***a(63),$157.50,23 Feb 2019 at 9:53:54AM PST,$134.00,True
7***6(551),$155.00,23 Feb 2019 at 2:11:53PM PST,$134.00,False
a***a(63),$152.50,23 Feb 2019 at 9:53:54AM PST,$134.00,True
7***6(551),$150.00,23 Feb 2019 at 2:11:18PM PST,$134.00,False
7***6(551),$144.50,23 Feb 2019 at 2:11:18PM PST,$134.00,True
a***a(63),$142.00,23 Feb 2019 at 9:53:00AM PST,$134.00,False
e***e(3),$140.00,19 Feb 2019 at 6:45:36AM PST,$134.00,False
e***e(3),$139.50,19 Feb 2019 at 6:45:36AM PST,$134.00,True
a***a(63),$137.00,23 Feb 2019 at 9:52:55AM PST,$134.00,False
a***a(63),$134.00,23 Feb 2019 at 9:52:55AM PST,$134.00,True
Starting Price,$134.00,13 Feb 2019 at 4:04:52PM PST,$134.00,False
