bidder,bid_amount,bid_time,starting_price,automatic
e***e(2),$189.00,2 Mar 2019 at 9:13:45AM PST,$9.99,False
a***e(8),$186.90,1 Mar 2019 at 7:56:12AM PST,$9.99,False
a***e(8),$186.50,1 Mar 2019 at 7:56:12AM PST,$9.99,True
c***b(7),$184.00,1 Mar 2019 at 7:23:57AM PST,$9.99,False
c***b(7),$183.50,1 Mar 2019 at 7:23:57AM PST,$9.99,True
a***e(8),$181.00,1 Mar 2019 at 2:08:18AM PST,$9.99,False
r***t(4),$180.00,28 Feb 2019 at 10:10:10PM PST,$9.99,False
r***t(4),$178.50,28 Feb 2019 at 10:10:10PM PST,$9.99,True
a***e(8),$176.00,1 Mar 2019 at 2:08:01AM PST,$9.99,False
r***t(4),$172.50,28 Feb 2019 at 10:10:10PM PST,$9.99,True
a***e(8),$170.00,1 Mar 2019 at 2:07:53AM PST,$9.99,False
r***t(4),$167.50,28 Feb 2019 at 10:10:10PM PST,$9.99,True
a***e(8),$165.00,1 Mar 2019 at 2:07:49AM PST,$9.99,False
r***t(4),$162.50,28 Feb 2019 at 10:10:10PM PST,$9.99,True
a***e(8),$160.00,28 Feb 2019 at 8:44:40PM PST,$9.99,False
e***e(2),$157.50,28 Feb 2019 at 7:58:05PM PST,$9.99,False
a***e(8),$155.00,28 Feb 2019 at 7:36:56PM PST,$9.99,False
e***e(2),$155.00,28 Feb 2019 at 7:57:56PM PST,$9.99,False
a***e(8),$152.50,28 Feb 2019 at 7:36:56PM PST,$9.99,True
v***i(1),$150.00,28 Feb 2019 at 7:28:03PM PST,$9.99,False
a***e(8),$150.00,28 Feb 2019 at 7:36:51PM PST,$9.99,False
v***i(1),$147.50,28 Feb 2019 at 7:28:03PM PST,$9.99,True
a***e(8),$145.00,28 Feb 2019 at 7:36:44PM PST,$9.99,False
v***i(1),$140.00,28 Feb 2019 at 7:28:03PM PST,$9.99,True
6***r(0),$137.50,28 Feb 2019 at 6:43:00PM PST,$9.99,False
r***a(17),$135.00,28 Feb 2019 at 6:13:18PM PST,$9.99,False
6***r(0),$135.00,28 Feb 2019 at 6:42:42PM PST,$9.99,False
r***a(17),$38.00,28 Feb 2019 at 6:13:18PM PST,$9.99,True
8***y(22),$37.00,28 Feb 2019 at 6:38:06PM PST,$9.99,False
r***a(17),$36.00,28 Feb 2019 at 6:13:18PM PST,$9.99,True
c***b(7),$35.00,28 Feb 2019 at 6:11:08PM PST,$9.99,False
c***b(7),$31.00,28 Feb 2019 at 6:11:08PM PST,$9.99,True
n***a(20),$30.00,28 Feb 2019 at 6:10:51PM PST,$9.99,False
c***b(7),$29.00,28 Feb 2019 at 6:09:02PM PST,$9.99,False
c***b(7),$26.00,28 Feb 2019 at 6:09:02PM PST,$9.99,True
m***e(4),$25.00,28 Feb 2019 at 6:06:17PM PST,$9.99,False
m***e(4),$24.50,28 Feb 2019 at 6:06:17PM PST,$9.99,True
c***b(7),$24.00,28 Feb 2019 at 6:08:58PM PST,$9.99,False
m***e(4),$21.50,28 Feb 2019 at 6:06:17PM PST,$9.99,True
c***b(7),$21.00,28 Feb 2019 at 6:08:51PM PST,$9.99,False
m***e(4),$16.00,28 Feb 2019 at 6:06:17PM PST,$9.99,True
n***u(32),$15.50,28 Feb 2019 at 5:56:04PM PST,$9.99,False
n***u(32),$10.49,28 Feb 2019 at 5:56:04PM PST,$9.99,True
e***e(2),$9.99,28 Feb 2019 at 5:03:01PM PST,$9.99,False
e***e(2),$9.99,28 Feb 2019 at 5:03:01PM PST,$9.99,True
Starting Price,$9.99,28 Feb 2019 at 5:00:26PM PST,$9.99,False
