bidder,bid_amount,bid_time,starting_price,automatic
k***g(1),$185.00,22 Apr 2019 at 2:54:48PM PDT,$130.00,False
k***g(1),$179.50,22 Apr 2019 at 2:54:48PM PDT,$130.00,True
i***h(60),$177.00,22 Apr 2019 at 10:18:26AM PDT,$130.00,False
k***g(1),$175.00,22 Apr 2019 at 1:07:20AM PDT,$130.00,False
k***g(1),$174.50,22 Apr 2019 at 1:07:20AM PDT,$130.00,True
i***h(60),$172.00,22 Apr 2019 at 1:07:43AM PDT,$130.00,False
k***g(1),$169.50,22 Apr 2019 at 1:07:20AM PDT,$130.00,True
i***h(60),$167.00,22 Apr 2019 at 1:07:40AM PDT,$130.00,False
k***g(1),$164.50,22 Apr 2019 at 1:07:20AM PDT,$130.00,True
i***h(60),$162.00,22 Apr 2019 at 1:07:35AM PDT,$130.00,False
k***g(1),$159.50,22 Apr 2019 at 1:07:20AM PDT,$130.00,True
i***h(60),$157.00,22 Apr 2019 at 1:07:33AM PDT,$130.00,False
k***g(1),$155.00,22 Apr 2019 at 1:06:57AM PDT,$130.00,False
k***g(1),$154.50,22 Apr 2019 at 1:06:57AM PDT,$130.00,True
i***h(60),$152.00,22 Apr 2019 at 1:07:21AM PDT,$130.00,False
k***g(1),$149.50,22 Apr 2019 at 1:06:57AM PDT,$130.00,True
i***h(60),$147.00,22 Apr 2019 at 1:07:17AM PDT,$130.00,False
k***g(1),$144.50,22 Apr 2019 at 1:06:57AM PDT,$130.00,True
i***h(60),$142.00,22 Apr 2019 at 1:05:52AM PDT,$130.00,False
i***h(60),$141.50,22 Apr 2019 at 1:05:52AM PDT,$130.00,True
k***g(1),$139.00,22 Apr 2019 at 1:04:47AM PDT,$130.00,False
i***h(60),$138.00,22 Apr 2019 at 1:05:48AM PDT,$130.00,False
k***g(1),$135.50,22 Apr 2019 at 1:04:47AM PDT,$130.00,True
i***h(60),$133.00,22 Apr 2019 at 12:25:27AM PDT,$130.00,False
i***h(60),$132.50,22 Apr 2019 at 12:25:27AM PDT,$130.00,True
1***m(45),$130.00,21 Apr 2019 at 11:18:15PM PDT,$130.00,False
1***m(45),$130.00,21 Apr 2019 at 11:18:15PM PDT,$130.00,True
Starting Price,$130.00,21 Apr 2019 at 5:36:46PM PDT,$130.00,False
