bidder,bid_amount,bid_time,starting_price,automatic
b***e(4),$195.00,21 Mar 2019 at 9:01:26AM PDT,$150.00,False
e***h(163),$192.50,21 Mar 2019 at 8:55:42AM PDT,$150.00,False
l***l(280),$190.00,21 Mar 2019 at 4:29:55AM PDT,$150.00,False
e***h(163),$190.00,21 Mar 2019 at 8:55:37AM PDT,$150.00,False
l***l(280),$187.50,21 Mar 2019 at 4:29:55AM PDT,$150.00,True
o***i(600),$185.00,20 Mar 2019 at 4:33:12PM PDT,$150.00,False
l***l(280),$185.00,21 Mar 2019 at 4:29:41AM PDT,$150.00,False
l***l(280),$183.50,21 Mar 2019 at 4:29:41AM PDT,$150.00,True
o***i(600),$181.00,20 Mar 2019 at 4:33:01PM PDT,$150.00,False
o***i(600),$178.50,20 Mar 2019 at 4:33:01PM PDT,$150.00,True
u***v(7),$176.00,20 Mar 2019 at 2:45:56PM PDT,$150.00,False
u***v(7),$175.50,20 Mar 2019 at 2:45:56PM PDT,$150.00,True
-***4(0),$173.00,20 Mar 2019 at 10:22:32AM PDT,$150.00,False
s***3(227),$171.00,20 Mar 2019 at 5:52:32AM PDT,$150.00,False
s***3(227),$170.50,20 Mar 2019 at 5:52:32AM PDT,$150.00,True
u***v(7),$168.00,20 Mar 2019 at 4:34:01AM PDT,$150.00,False
u***v(7),$167.51,20 Mar 2019 at 4:34:01AM PDT,$150.00,True
t***7(1327),$165.01,20 Mar 2019 at 2:45:41AM PDT,$150.00,False
c***7(0),$165.00,14 Mar 2019 at 9:52:58PM PDT,$150.00,False
c***7(0),$162.50,14 Mar 2019 at 9:52:58PM PDT,$150.00,True
n***y(27),$160.00,15 Mar 2019 at 9:36:50PM PDT,$150.00,False
c***7(0),$157.50,14 Mar 2019 at 9:52:58PM PDT,$150.00,True
n***y(27),$155.00,15 Mar 2019 at 9:36:41PM PDT,$150.00,False
n***y(27),$150.00,15 Mar 2019 at 9:36:41PM PDT,$150.00,True
Starting Price,$150.00,14 Mar 2019 at 9:01:29AM PDT,$150.00,False
