bidder,bid_amount,bid_time,starting_price,automatic
a***d(0),$200.00,28 Feb 2019 at 6:20:51AM PST,$141.00,False
c***0(13),$200.00,28 Feb 2019 at 8:05:25AM PST,$141.00,False
a***d(0),$195.50,28 Feb 2019 at 6:20:51AM PST,$141.00,True
c***0(13),$193.00,28 Feb 2019 at 8:05:17AM PST,$141.00,False
a***d(0),$190.50,28 Feb 2019 at 6:20:51AM PST,$141.00,True
k***0(3),$188.00,28 Feb 2019 at 6:19:39AM PST,$141.00,False
k***0(3),$187.50,28 Feb 2019 at 6:19:39AM PST,$141.00,True
a***d(0),$185.00,28 Feb 2019 at 6:20:35AM PST,$141.00,False
k***0(3),$179.50,28 Feb 2019 at 6:19:39AM PST,$141.00,True
a***d(0),$177.00,28 Feb 2019 at 6:20:22AM PST,$141.00,False
k***0(3),$171.50,28 Feb 2019 at 6:19:39AM PST,$141.00,True
a***d(0),$169.00,28 Feb 2019 at 6:20:12AM PST,$141.00,False
k***0(3),$166.50,28 Feb 2019 at 6:19:39AM PST,$141.00,True
a***d(0),$164.00,28 Feb 2019 at 5:51:30AM PST,$141.00,False
k***0(3),$163.50,28 Feb 2019 at 6:19:39AM PST,$141.00,True
a***d(0),$161.00,28 Feb 2019 at 5:40:10AM PST,$141.00,False
a***9(5),$159.00,27 Feb 2019 at 8:21:05AM PST,$141.00,False
a***d(0),$158.50,28 Feb 2019 at 5:40:10AM PST,$141.00,True
a***9(5),$156.00,27 Feb 2019 at 8:20:28AM PST,$141.00,False
r***f(789),$155.00,27 Feb 2019 at 8:16:36AM PST,$141.00,False
r***f(789),$153.50,27 Feb 2019 at 8:16:36AM PST,$141.00,True
a***9(5),$151.00,27 Feb 2019 at 8:20:24AM PST,$141.00,False
r***f(789),$148.50,27 Feb 2019 at 8:16:36AM PST,$141.00,True
a***9(5),$146.00,27 Feb 2019 at 8:20:19AM PST,$141.00,False
r***f(789),$143.50,27 Feb 2019 at 8:16:36AM PST,$141.00,True
a***9(5),$141.00,25 Feb 2019 at 5:25:57PM PST,$141.00,False
a***9(5),$141.00,25 Feb 2019 at 5:25:57PM PST,$141.00,True
Starting Price,$141.00,25 Feb 2019 at 8:53:56AM PST,$141.00,False
