bidder,bid_amount,bid_time,starting_price,automatic
private listing - bidders' identities protected,$202.00,17 Mar 2019 at 2:48:38PM PDT,$159.99,False
private listing - bidders' identities protected,$200.00,17 Mar 2019 at 2:48:28PM PDT,$159.99,False
private listing - bidders' identities protected,$197.50,17 Mar 2019 at 2:48:28PM PDT,$159.99,False
private listing - bidders' identities protected,$195.00,17 Mar 2019 at 2:47:54PM PDT,$159.99,False
private listing - bidders' identities protected,$192.50,17 Mar 2019 at 2:47:54PM PDT,$159.99,False
private listing - bidders' identities protected,$190.00,17 Mar 2019 at 2:48:21PM PDT,$159.99,False
private listing - bidders' identities protected,$187.50,17 Mar 2019 at 2:47:54PM PDT,$159.99,False
private listing - bidders' identities protected,$185.00,17 Mar 2019 at 2:47:59PM PDT,$159.99,False
private listing - bidders' identities protected,$182.50,17 Mar 2019 at 2:47:54PM PDT,$159.99,False
private listing - bidders' identities protected,$180.00,17 Mar 2019 at 2:38:25PM PDT,$159.99,False
private listing - bidders' identities protected,$180.00,17 Mar 2019 at 2:47:47PM PDT,$159.99,False
private listing - bidders' identities protected,$175.50,17 Mar 2019 at 2:38:25PM PDT,$159.99,False
private listing - bidders' identities protected,$173.00,17 Mar 2019 at 1:43:10PM PDT,$159.99,False
private listing - bidders' identities protected,$167.50,17 Mar 2019 at 1:43:10PM PDT,$159.99,False
private listing - bidders' identities protected,$165.00,10 Mar 2019 at 3:44:40PM PDT,$159.99,False
private listing - bidders' identities protected,$159.99,10 Mar 2019 at 3:44:40PM PDT,$159.99,False
Starting Price,$159.99,10 Mar 2019 at 2:48:41PM PDT,$159.99,False
