bidder,bid_amount,bid_time,starting_price,automatic
n***m(37),$172.50,24 Feb 2019 at 6:31:58AM PST,$49.99,False
a***a(63),$170.00,24 Feb 2019 at 4:50:33AM PST,$49.99,False
n***m(37),$170.00,24 Feb 2019 at 6:31:43AM PST,$49.99,False
a***a(63),$167.50,24 Feb 2019 at 4:50:33AM PST,$49.99,True
n***m(37),$165.00,24 Feb 2019 at 6:31:36AM PST,$49.99,False
a***a(63),$162.50,24 Feb 2019 at 4:50:33AM PST,$49.99,True
n***m(37),$160.00,23 Feb 2019 at 9:00:02PM PST,$49.99,False
n***m(37),$157.50,23 Feb 2019 at 9:00:02PM PST,$49.99,True
b***s(44),$155.00,23 Feb 2019 at 8:15:08AM PST,$49.99,False
n***m(37),$155.00,23 Feb 2019 at 8:59:48PM PST,$49.99,False
b***s(44),$152.50,23 Feb 2019 at 8:15:08AM PST,$49.99,True
i***l(2),$150.00,21 Feb 2019 at 10:51:06AM PST,$49.99,False
b***s(44),$150.00,23 Feb 2019 at 8:15:03AM PST,$49.99,False
i***l(2),$139.50,21 Feb 2019 at 10:51:06AM PST,$49.99,True
e***9(0),$137.00,21 Feb 2019 at 12:20:24PM PST,$49.99,False
i***l(2),$134.50,21 Feb 2019 at 10:51:06AM PST,$49.99,True
e***9(0),$132.00,20 Feb 2019 at 7:34:57PM PST,$49.99,False
g***o(430),$130.00,19 Feb 2019 at 8:29:16PM PST,$49.99,False
g***o(430),$129.50,19 Feb 2019 at 8:29:16PM PST,$49.99,True
1***2(247),$127.00,19 Feb 2019 at 6:25:14PM PST,$49.99,False
5***a(67),$125.00,19 Feb 2019 at 10:25:27AM PST,$49.99,False
5***a(67),$76.00,19 Feb 2019 at 10:25:27AM PST,$49.99,True
i***l(2),$75.00,19 Feb 2019 at 11:23:06AM PST,$49.99,False
5***a(67),$61.00,19 Feb 2019 at 10:25:27AM PST,$49.99,True
4***l(4),$60.00,19 Feb 2019 at 8:45:41AM PST,$49.99,False
4***l(4),$52.00,19 Feb 2019 at 8:45:41AM PST,$49.99,True
1***4(906),$51.00,19 Feb 2019 at 8:21:22AM PST,$49.99,False
6***0(1218),$50.00,19 Feb 2019 at 8:11:17AM PST,$49.99,False
6***0(1218),$49.99,19 Feb 2019 at 8:11:17AM PST,$49.99,True
Starting Price,$49.99,19 Feb 2019 at 8:05:08AM PST,$49.99,False
