bidder,bid_amount,bid_time,starting_price,automatic
u***s(108),$206.00,16 Mar 2019 at 8:02:19AM PDT,$140.00,False
f***2(25),$203.50,16 Mar 2019 at 7:52:41AM PDT,$140.00,False
u***s(108),$201.00,16 Mar 2019 at 7:50:47AM PDT,$140.00,False
f***2(25),$198.50,16 Mar 2019 at 7:20:16AM PDT,$140.00,False
g***g(2),$196.00,16 Mar 2019 at 7:04:26AM PDT,$140.00,False
f***2(25),$196.00,16 Mar 2019 at 7:20:12AM PDT,$140.00,False
g***g(2),$193.50,16 Mar 2019 at 7:04:26AM PDT,$140.00,True
e***7(314),$191.00,16 Mar 2019 at 2:46:11AM PDT,$140.00,False
e***7(314),$183.50,16 Mar 2019 at 2:46:11AM PDT,$140.00,True
u***s(108),$181.00,15 Mar 2019 at 7:58:03AM PDT,$140.00,False
u***s(108),$178.00,15 Mar 2019 at 7:58:03AM PDT,$140.00,True
f***2(25),$175.50,14 Mar 2019 at 6:37:46PM PDT,$140.00,False
n***5(6),$173.00,14 Mar 2019 at 6:13:44PM PDT,$140.00,False
f***2(25),$173.00,14 Mar 2019 at 6:37:38PM PDT,$140.00,False
n***5(6),$170.50,14 Mar 2019 at 6:13:44PM PDT,$140.00,True
y***n(121),$168.00,14 Mar 2019 at 6:04:02PM PDT,$140.00,False
n***5(6),$168.00,14 Mar 2019 at 6:13:22PM PDT,$140.00,False
y***n(121),$165.00,14 Mar 2019 at 6:04:02PM PDT,$140.00,True
f***2(25),$162.50,13 Mar 2019 at 7:34:26AM PDT,$140.00,False
n***5(6),$160.00,13 Mar 2019 at 6:10:52AM PDT,$140.00,False
f***2(25),$157.50,10 Mar 2019 at 11:18:55AM PDT,$140.00,False
a***o(33),$155.00,9 Mar 2019 at 4:30:59PM PST,$140.00,False
s***s(458),$153.00,9 Mar 2019 at 3:20:31PM PST,$140.00,False
s***s(458),$152.50,9 Mar 2019 at 3:20:31PM PST,$140.00,True
a***o(33),$150.00,9 Mar 2019 at 9:18:26AM PST,$140.00,False
a***o(33),$140.00,9 Mar 2019 at 9:18:26AM PST,$140.00,True
Starting Price,$140.00,9 Mar 2019 at 7:02:34AM PST,$140.00,False
